Year,Month,Day,Hour,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Solar Zenith Angle,Surface Albedo,Wind Speed,Relative Humidity,Temperature,Pressure
2014,1,2,4,0,0,0,0,0,0,Super-Cooled Water,-8,160.45,0.866,1.3,70.37,-4,1020
2014,1,2,5,0,0,0,0,0,0,Super-Cooled Water,-8,158.83,0.866,1.4,72.26,-4,1020
2014,1,2,6,0,0,0,0,0,0,Cirrus,-7,151.27,0.866,1.6,74.67,-4,1020
2014,1,2,7,0,0,0,0,0,0,Cirrus,-7,141.2,0.866,1.9,77.72,-4,1020
2014,1,2,8,0,0,0,0,0,0,Overlapping,-6,130.28,0.866,2.4,80.11,-4,1020
2014,1,2,9,0,0,0,0,0,0,Cirrus,-6,119.17,0.866,2.8,82.53,-4,1020
2014,1,2,10,0,0,0,0,0,0,Cirrus,-6,108.23,0.866,3,84.29,-4,1020
2014,1,2,11,0,0,0,0,0,0,Cirrus,-6,97.75,0.866,3.1,85.82,-4,1020
2014,1,2,12,19.15384615,290,34.61538462,19.15384615,290,34.61538462,Cirrus,-5,88.01,0.866,3.3,81.81,-3,1010
2014,1,2,13,69,89,86,90,277,141,Cirrus,-5,79.39,0.866,3.6,79.15,-2,1010
2014,1,2,14,114,22,121,134,459,273,Cirrus,-4,72.35,0.866,4.1,83.36,-2,1010
2014,1,2,15,48,676.2380952,48,162,539,370,Cirrus,-3,67.43,0.866,4.4,81.52,-1,1010
2014,1,2,16,169,37,184,170,586,416,Cirrus,-3,65.13,0.866,4.6,79.23,0,1010
2014,1,2,17,151,12,156,160,597,406,Opaque Ice,-2,65.73,0.866,4.8,81.9,0,1010
2014,1,2,18,130,10,133,141,552,338,Opaque Ice,-2,69.17,0.866,5.1,83.32,0,1010
2014,1,2,19,95,14,99,110,434,223,Opaque Ice,-2,75.03,0.866,5.3,83.91,0,1010
2014,1,2,20,52.68181818,447.9047619,126.5,54.90909091,543.1363636,152,Opaque Ice,-2,82.78,0.866,5.6,89.24,-1,1010
2014,1,2,21,0,0,0,0,0,0,Opaque Ice,-2,91.91,0.866,5.9,87.15,-1,1000
2014,1,2,22,0,0,0,0,0,0,Opaque Ice,-3,101.99,0.866,6,91.45,-2,1000
2014,1,2,23,0,0,0,0,0,0,Opaque Ice,-3,112.7,0.866,6.1,89.86,-2,1000
2014,1,3,0,0,0,0,0,0,0,Opaque Ice,-3,123.74,0.866,6.3,88.35,-2,1000
2014,1,3,1,0,0,0,0,0,0,Opaque Ice,-4,134.82,0.866,6.5,92.57,-3,1000
2014,1,3,2,0,0,0,0,0,0,Opaque Ice,-4,145.49,0.866,6.7,89.14,-3,1000
2014,1,3,3,0,0,0,0,0,0,Opaque Ice,-5,154.8,0.866,6.8,92.45,-4,1000
2014,1,3,4,0,0,0,0,0,0,Opaque Ice,-5,160.34,0.866,6.9,89.05,-4,1000
2014,1,3,5,0,0,0,0,0,0,Opaque Ice,-6,158.78,0.866,7,90.94,-5,1000
2014,1,3,6,0,0,0,0,0,0,Opaque Ice,-7,151.27,0.866,7.2,91.39,-6,1000
2014,1,3,7,0,0,0,0,0,0,Opaque Ice,-7,141.22,0.866,7.4,92.79,-7,1000
2014,1,3,8,0,0,0,0,0,0,Opaque Ice,-8,130.31,0.866,7.5,88.74,-7,1000
2014,1,3,9,0,0,0,0,0,0,Opaque Ice,-9,119.2,0.866,7.7,91.72,-8,1000
2014,1,3,10,0,0,0,0,0,0,Cirrus,-9,108.26,0.866,7.8,92.91,-9,1000
2014,1,3,11,0,0,0,0,0,0,Cirrus,-10,97.76,0.866,7.7,92.4,-10,1000
2014,1,3,12,19.15384615,290,34.61538462,19.15384615,290,34.61538462,Cirrus,-12,88.01,0.866,7.5,92.13,-11,1000
2014,1,3,13,25,451.4782609,25,75,423,153,Cirrus,-12,79.38,0.866,7.3,94.72,-12,1000
2014,1,3,14,123,162,172,108,606,292,Super-Cooled Water,-12,72.32,0.866,7,85.85,-11,1000
2014,1,3,15,120,716,396,120,716,396,Probably Clear,-12,67.37,0.866,6.7,87.44,-11,1000
2014,1,3,16,184,131,240,122,771,447,Super-Cooled Water,-12,65.04,0.866,6.5,83.62,-10,1000
2014,1,3,17,179,157,243,117,775,437,Super-Cooled Water,-11,65.62,0.866,6.2,86.36,-10,1010
2014,1,3,18,93,784,373,93,784,373,Clear,-11,69.04,0.866,6,88.32,-10,1010
2014,1,3,19,75,688,255,75,688,255,Clear,-11,74.89,0.866,5.8,87.92,-10,1010
2014,1,3,20,43,498,107,43,498,107,Clear,-11,82.64,0.866,5.6,85.48,-10,1010
2014,1,3,21,0,0,0,0,0,0,Probably Clear,-12,91.77,0.866,5.5,87.6,-11,1010
2014,1,3,22,0,0,0,0,0,0,Probably Clear,-13,101.85,0.866,5.4,89.82,-12,1020
2014,1,3,23,0,0,0,0,0,0,Clear,-13,112.55,0.866,5.2,85.29,-12,1020
2014,1,4,0,0,0,0,0,0,0,Probably Clear,-14,123.59,0.866,4.9,88.32,-13,1020
2014,1,4,1,0,0,0,0,0,0,Probably Clear,-15,134.67,0.866,4.6,91.66,-14,1020
2014,1,4,2,0,0,0,0,0,0,Probably Clear,-15,145.34,0.866,4.4,95.71,-15,1020
2014,1,4,3,0,0,0,0,0,0,Super-Cooled Water,-15,154.66,0.866,4,92.51,-15,1020
2014,1,4,4,0,0,0,0,0,0,Super-Cooled Water,-16,160.22,0.866,3.6,96.57,-16,1020
2014,1,4,5,0,0,0,0,0,0,Overlapping,-16,158.73,0.866,3.3,93.25,-16,1020
2014,1,4,6,0,0,0,0,0,0,Overlapping,-17,151.26,0.866,3,89.83,-16,1020
2014,1,4,7,0,0,0,0,0,0,Overlapping,-17,141.24,0.866,2.8,80.47,-15,1020
2014,1,4,8,0,0,0,0,0,0,Overlapping,-17,130.33,0.866,2.7,78.97,-15,1020
2014,1,4,9,0,0,0,0,0,0,Overlapping,-17,119.22,0.866,2.6,78.57,-15,1020
2014,1,4,10,0,0,0,0,0,0,Overlapping,-17,108.27,0.866,2.6,79.41,-15,1020
2014,1,4,11,0,0,0,0,0,0,Overlapping,-17,97.77,0.866,2.7,74.64,-14,1020
2014,1,4,12,19.15384615,290,34.61538462,19.15384615,290,34.61538462,Overlapping,-17,88,0.866,2.8,70.86,-13,1020
2014,1,4,13,48,642,167,48,642,167,Probably Clear,-15,79.35,0.866,2.8,67.36,-11,1020
2014,1,4,14,68,780,306,68,780,306,Clear,-13,72.27,0.866,3,69.93,-9,1020
2014,1,4,15,77,853,406,77,853,406,Clear,-12,67.29,0.866,3.2,67.51,-7,1020
2014,1,4,16,80,881,453,80,881,453,Clear,-10,64.94,0.866,3.4,65.46,-5,1020
2014,1,4,17,78,876,441,78,876,441,Clear,-8,65.5,0.866,3.7,68.54,-4,1020
2014,1,4,18,70,838,372,70,838,372,Clear,-7,68.91,0.866,4,70.75,-3,1020
2014,1,4,19,58,744,254,58,744,254,Clear,-6,74.75,0.866,4.1,76.77,-3,1020
2014,1,4,20,38,531,107,38,531,107,Clear,-5,82.49,0.866,4.2,80.99,-3,1020
2014,1,4,21,0,0,0,0,0,0,Probably Clear,-5,91.62,0.866,4.1,83.59,-3,1020
2014,1,4,22,0,0,0,0,0,0,Probably Clear,-4,101.7,0.866,4,86.76,-3,1020
2014,1,4,23,0,0,0,0,0,0,Clear,-4,112.41,0.866,4,89.33,-3,1020
2014,1,5,0,0,0,0,0,0,0,Clear,-4,123.45,0.866,4.1,84.92,-2,1020
2014,1,5,1,0,0,0,0,0,0,Clear,-3,134.53,0.866,4.2,87.19,-2,1020
2014,1,5,2,0,0,0,0,0,0,Clear,-3,145.2,0.866,4.1,90,-2,1020
2014,1,5,3,0,0,0,0,0,0,Probably Clear,-3,154.51,0.866,3.9,92,-2,1020
2014,1,5,4,0,0,0,0,0,0,Clear,-3,160.1,0.866,3.5,91.94,-2,1020
2014,1,5,5,0,0,0,0,0,0,Probably Clear,-3,158.66,0.866,3.2,90.2,-2,1020
2014,1,5,6,0,0,0,0,0,0,Clear,-3,151.25,0.866,2.9,93.53,-3,1020
2014,1,5,7,0,0,0,0,0,0,Cirrus,-4,141.25,0.866,2.7,94.78,-4,1020
2014,1,5,8,0,0,0,0,0,0,Super-Cooled Water,-5,130.35,0.866,2.6,93.2,-5,1020
2014,1,5,9,0,0,0,0,0,0,Probably Clear,-6,119.24,0.866,2.8,95.24,-6,1020
2014,1,5,10,0,0,0,0,0,0,Clear,-7,108.28,0.866,2.9,92.59,-6,1020
2014,1,5,11,0,0,0,0,0,0,Probably Clear,-7,97.77,0.866,2.8,91.95,-6,1020
2014,1,5,12,15,262,24,15,262,24,Probably Clear,-7,87.99,0.866,2.6,85.19,-5,1020
2014,1,5,13,48,644,167,48,644,167,Clear,-6,79.32,0.866,2.2,78.22,-3,1020
2014,1,5,14,90,479,236,66,780,305,Super-Cooled Water,-4,72.21,0.866,1.8,76.7,-1,1020
2014,1,5,15,136,407,293,80,823,399,Super-Cooled Water,-3,67.22,0.866,1.8,78.18,0,1020
2014,1,5,16,181,220,275,92,819,440,Super-Cooled Water,-2,64.84,0.866,2.2,85.14,0,1020
2014,1,5,17,100,777,424,100,777,424,Probably Clear,-1,65.38,0.866,2.5,91.67,0,1020
2014,1,5,18,92,726,355,92,726,355,Probably Clear,0,68.77,0.866,2.6,90.59,1,1020
2014,1,5,19,99,18,104,77,613,240,Super-Cooled Water,0,74.6,0.866,2.5,94.7,1,1020
2014,1,5,20,52.68181818,447.9047619,126.5,54.90909091,543.1363636,152,Super-Cooled Water,0,82.34,0.866,2.3,97.47,1,1010
2014,1,5,21,0,0,0,0,0,0,Cirrus,0,91.47,0.866,2.1,99.02,1,1010
2014,1,5,22,0,0,0,0,0,0,Cirrus,1,101.55,0.866,2.2,100,1,1010
2014,1,5,23,0,0,0,0,0,0,Cirrus,1,112.26,0.866,2.7,100,1,1010
2014,1,6,0,0,0,0,0,0,0,Opaque Ice,1,123.3,0.866,3.3,99.72,2,1010
2014,1,6,1,0,0,0,0,0,0,Opaque Ice,2,134.37,0.866,3.6,100,2,1010
2014,1,6,2,0,0,0,0,0,0,Opaque Ice,2,145.04,0.866,3.9,100,3,1010
2014,1,6,3,0,0,0,0,0,0,Opaque Ice,4,154.36,0.866,4.1,100,4,1010
2014,1,6,4,0,0,0,0,0,0,Opaque Ice,4,159.97,0.866,4.4,100,4,1000
2014,1,6,5,0,0,0,0,0,0,Opaque Ice,4,158.59,0.866,4.4,100,5,1000
2014,1,6,6,0,0,0,0,0,0,Cirrus,4,151.23,0.866,4.2,100,5,1000
2014,1,6,7,0,0,0,0,0,0,Cirrus,6,141.25,0.866,4.3,100,6,1000
2014,1,6,8,0,0,0,0,0,0,Cirrus,6,130.36,0.866,4.2,100,6,1000
2014,1,6,9,0,0,0,0,0,0,Probably Clear,6,119.25,0.866,4.1,100,6,1000
2014,1,6,10,0,0,0,0,0,0,Super-Cooled Water,7,108.29,0.866,4.1,100,7,990
2014,1,6,11,0,0,0,0,0,0,Water,7,97.77,0.866,4.5,100,7,990
2014,1,6,12,19.15384615,290,34.61538462,19.15384615,290,34.61538462,Water,8,87.97,0.866,4.8,100,8,990
2014,1,6,13,27,451.4782609,27,56,489,147,Cirrus,8,79.28,0.866,4.8,100,8,990
2014,1,6,14,106,538.5384615,106,82,636,277,Cirrus,9,72.15,0.866,4.9,100,8,990
2014,1,6,15,115,676.2380952,115,102,686,369,Opaque Ice,9,67.13,0.866,5,100,9,990
2014,1,6,16,144,1,145,115,696,412,Cirrus,9,64.73,0.866,5.1,100,10,990
2014,1,6,17,161,23,170,114,690,403,Opaque Ice,9,65.25,0.866,4.8,100,9,980
2014,1,6,18,155,134,204,118,600,337,Opaque Ice,8,68.62,0.866,4,100,8,990
2014,1,6,19,63,488.7692308,63,105,448,225,Cirrus,7,74.45,0.866,3.4,100,7,990
2014,1,6,20,52.68181818,447.9047619,126.5,54.90909091,543.1363636,152,Cirrus,4,82.18,0.866,3.1,100,5,990
2014,1,6,21,0,0,0,0,0,0,Opaque Ice,4,91.31,0.866,3.3,100,4,990
2014,1,6,22,0,0,0,0,0,0,Opaque Ice,2,101.39,0.866,3.6,100,2,990
2014,1,6,23,0,0,0,0,0,0,Cirrus,1,112.1,0.866,3.8,100,1,990
2014,1,7,0,0,0,0,0,0,0,Opaque Ice,0,123.14,0.12,4,97.66,0,990
2014,1,7,1,0,0,0,0,0,0,Cirrus,-1,134.22,0.12,4.1,87.16,0,990
2014,1,7,2,0,0,0,0,0,0,Cirrus,-2,144.89,0.12,4.1,80.39,0,990
2014,1,7,3,0,0,0,0,0,0,Cirrus,-4,154.2,0.12,4.4,80,-1,990
2014,1,7,4,0,0,0,0,0,0,Cirrus,-5,159.83,0.12,4.6,73.49,-1,990
2014,1,7,5,0,0,0,0,0,0,Probably Clear,-6,158.51,0.12,4.7,73.37,-2,990
2014,1,7,6,0,0,0,0,0,0,Super-Cooled Water,-7,151.2,0.12,4.6,68.58,-2,990
2014,1,7,7,0,0,0,0,0,0,Super-Cooled Water,-7,141.25,0.12,4.5,70.2,-3,990
2014,1,7,8,0,0,0,0,0,0,Super-Cooled Water,-8,130.36,0.12,4.8,67.19,-3,990
2014,1,7,9,0,0,0,0,0,0,Super-Cooled Water,-9,119.26,0.12,5.5,70.38,-5,1000
2014,1,7,10,0,0,0,0,0,0,Super-Cooled Water,-11,108.29,0.12,6.1,68.08,-7,1000
2014,1,7,11,0,0,0,0,0,0,Super-Cooled Water,-13,97.76,0.12,6.4,62.47,-8,1000
2014,1,7,12,17,183,24,17,183,24,Probably Clear,-14,87.95,0.12,6.3,63.32,-9,1000
2014,1,7,13,52,612,166,52,612,166,Clear,-14,79.24,0.12,6.1,62.04,-9,1000
2014,1,7,14,67,792,310,67,792,310,Probably Clear,-15,72.08,0.12,6,56.17,-8,1000
2014,1,7,15,70,887,416,70,887,416,Clear,-15,67.03,0.12,5.9,55.48,-8,1000
2014,1,7,16,71,923,467,71,923,467,Clear,-15,64.61,0.12,5.6,55.15,-8,1010
2014,1,7,17,68,926,458,68,926,458,Clear,-15,65.11,0.12,5.5,54.63,-8,1010
2014,1,7,18,62,897,391,62,897,391,Clear,-15,68.47,0.12,5.2,54.04,-8,1010
2014,1,7,19,52,815,273,52,815,273,Clear,-15,74.29,0.12,5,53.63,-8,1010
2014,1,7,20,35,618,121,35,618,121,Clear,-15,82.02,0.12,5.1,57.61,-9,1010
2014,1,7,21,0,0,0,0,0,0,Probably Clear,-15,91.15,0.12,5.3,57.13,-9,1010
2014,1,7,22,0,0,0,0,0,0,Probably Clear,-16,101.24,0.12,5.4,60.89,-10,1010
2014,1,7,23,0,0,0,0,0,0,Probably Clear,-16,111.94,0.12,5.5,60.07,-10,1010
2014,1,8,0,0,0,0,0,0,0,Probably Clear,-16,122.99,0.12,5.3,64.77,-11,1010
2014,1,8,1,0,0,0,0,0,0,Super-Cooled Water,-16,134.06,0.12,5,65.62,-11,1010
2014,1,8,2,0,0,0,0,0,0,Probably Clear,-15,144.73,0.12,4.8,67.12,-11,1010
2014,1,8,3,0,0,0,0,0,0,Super-Cooled Water,-15,154.03,0.12,4.7,68.73,-11,1020
2014,1,8,4,0,0,0,0,0,0,Super-Cooled Water,-15,159.68,0.12,4.7,70.17,-11,1020
2014,1,8,5,0,0,0,0,0,0,Super-Cooled Water,-15,158.43,0.12,4.7,71.37,-11,1020
2014,1,8,6,0,0,0,0,0,0,Probably Clear,-14,151.17,0.12,4.6,72.38,-11,1020
2014,1,8,7,0,0,0,0,0,0,Probably Clear,-14,141.24,0.12,4.6,79.28,-12,1020
2014,1,8,8,0,0,0,0,0,0,Super-Cooled Water,-14,130.36,0.12,4.5,79.81,-12,1020
2014,1,8,9,0,0,0,0,0,0,Probably Clear,-14,119.25,0.12,4.3,80.31,-12,1020
2014,1,8,10,0,0,0,0,0,0,Clear,-14,108.28,0.12,4.1,80.93,-12,1020
2014,1,8,11,0,0,0,0,0,0,Super-Cooled Water,-14,97.74,0.12,4,81.42,-12,1020
2014,1,8,12,15,302,26,15,302,26,Probably Clear,-14,87.91,0.12,3.9,75.76,-11,1020
2014,1,8,13,43,697,174,43,697,174,Probably Clear,-14,79.19,0.12,3.8,70.49,-10,1020
2014,1,8,14,74,588,256,56,838,315,Super-Cooled Water,-14,72.01,0.12,3.7,61.27,-8,1020
2014,1,8,15,123,485,314,62,903,416,Super-Cooled Water,-13,66.93,0.12,3.6,58.04,-7,1020
2014,1,8,16,65,923,463,65,923,463,Clear,-13,64.48,0.12,3.5,55.18,-6,1020
2014,1,8,17,65,912,451,65,912,451,Clear,-13,64.96,0.12,3.3,52.52,-5,1020
2014,1,8,18,61,871,383,61,871,383,Clear,-12,68.31,0.12,3.1,50.21,-4,1020
2014,1,8,19,53,782,266,53,782,266,Clear,-12,74.12,0.12,3.1,52.09,-4,1020
2014,1,8,20,36,585,119,36,585,119,Clear,-11,81.86,0.12,3.1,58.8,-5,1020
2014,1,8,21,0,0,0,0,0,0,Clear,-11,90.98,0.12,3.2,67.41,-6,1020
2014,1,8,22,0,0,0,0,0,0,Clear,-10,101.07,0.12,3.3,68.79,-7,1020
2014,1,8,23,0,0,0,0,0,0,Overlapping,-10,111.78,0.12,3.3,75.04,-7,1020
2014,1,9,0,0,0,0,0,0,0,Probably Clear,-10,122.83,0.118,3.3,75.07,-7,1020
2014,1,9,1,0,0,0,0,0,0,Probably Clear,-10,133.9,0.118,3.2,74.94,-7,1020
2014,1,9,2,0,0,0,0,0,0,Super-Cooled Water,-10,144.56,0.118,3.2,80.72,-8,1020
2014,1,9,3,0,0,0,0,0,0,Super-Cooled Water,-10,153.87,0.118,3.2,74.56,-7,1020
2014,1,9,4,0,0,0,0,0,0,Overlapping,-10,159.53,0.118,3.2,73.63,-7,1020
2014,1,9,5,0,0,0,0,0,0,Cirrus,-11,158.33,0.118,3.2,72.52,-7,1020
2014,1,9,6,0,0,0,0,0,0,Overlapping,-11,151.13,0.118,3.2,72.38,-7,1020
2014,1,9,7,0,0,0,0,0,0,Probably Clear,-11,141.22,0.118,3.3,72.6,-7,1020
2014,1,9,8,0,0,0,0,0,0,Super-Cooled Water,-10,130.36,0.118,3.4,73.6,-7,1020
2014,1,9,9,0,0,0,0,0,0,Super-Cooled Water,-10,119.25,0.118,3.4,75.08,-7,1020
2014,1,9,10,0,0,0,0,0,0,Probably Clear,-10,108.27,0.118,3.5,76.6,-7,1020
2014,1,9,11,0,0,0,0,0,0,Super-Cooled Water,-10,97.71,0.118,3.5,78.11,-7,1020
2014,1,9,12,16,221,24,16,221,24,Probably Clear,-9,87.88,0.118,3.5,73.47,-6,1030
2014,1,9,13,49,631,168,49,631,168,Probably Clear,-9,79.13,0.118,3.6,69.54,-5,1030
2014,1,9,14,63,796,310,63,796,310,Clear,-9,71.93,0.118,3.7,61.56,-3,1030
2014,1,9,15,69,878,414,69,878,414,Clear,-9,66.82,0.118,3.6,56.62,-2,1030
2014,1,9,16,71,908,464,71,908,464,Clear,-9,64.35,0.118,3.4,55.31,-2,1030
2014,1,9,17,70,905,455,70,905,455,Clear,-9,64.8,0.118,3.2,55,-2,1030
2014,1,9,18,64,870,388,64,870,388,Clear,-9,68.14,0.118,2.9,51.12,-2,1030
2014,1,9,19,55,786,272,55,786,272,Clear,-9,73.95,0.118,2.5,51.59,-2,1030
2014,1,9,20,37,600,124,37,600,124,Clear,-8,81.68,0.118,2.3,64.59,-3,1030
2014,1,9,21,0,0,0,0,0,0,Probably Clear,-9,90.81,0.118,2,62.15,-3,1030
2014,1,9,22,0,0,0,0,0,0,Probably Clear,-10,100.91,0.118,1.6,56.85,-3,1030
2014,1,9,23,0,0,0,0,0,0,Probably Clear,-11,111.62,0.118,1.2,52.61,-3,1030
2014,1,10,0,0,0,0,0,0,0,Probably Clear,-11,122.67,0.118,1.2,50.72,-3,1030
2014,1,10,1,0,0,0,0,0,0,Probably Clear,-11,133.74,0.118,1.5,54.98,-4,1030
2014,1,10,2,0,0,0,0,0,0,Probably Clear,-11,144.39,0.118,2,61.32,-5,1030
2014,1,10,3,0,0,0,0,0,0,Super-Cooled Water,-10,153.69,0.118,2.2,69.27,-6,1030
2014,1,10,4,0,0,0,0,0,0,Super-Cooled Water,-10,159.37,0.118,2.3,71.19,-6,1030
2014,1,10,5,0,0,0,0,0,0,Super-Cooled Water,-10,158.23,0.118,2.4,78.43,-7,1030
2014,1,10,6,0,0,0,0,0,0,Probably Clear,-9,151.08,0.118,2.5,80.75,-7,1030
2014,1,10,7,0,0,0,0,0,0,Cirrus,-9,141.2,0.118,2.7,78,-6,1030
2014,1,10,8,0,0,0,0,0,0,Cirrus,-8,130.34,0.118,2.8,76.22,-5,1030
2014,1,10,9,0,0,0,0,0,0,Cirrus,-7,119.24,0.118,2.9,75.69,-4,1030
2014,1,10,10,0,0,0,0,0,0,Cirrus,-6,108.25,0.118,3,81.72,-4,1030
2014,1,10,11,0,0,0,0,0,0,Opaque Ice,-5,97.69,0.118,3,82.63,-3,1020
2014,1,10,12,19.15384615,290,34.61538462,19.15384615,290,34.61538462,Opaque Ice,-4,87.83,0.118,2.9,83.25,-2,1020
2014,1,10,13,12,451.4782609,12,61,464,149,Super-Cooled Water,-3,79.06,0.118,2.8,83.29,-1,1020
2014,1,10,14,71,538.5384615,71,83,631,280,Super-Cooled Water,-2,71.84,0.118,2.8,83.26,0,1020
2014,1,10,15,50,676.2380952,50,96,703,375,Super-Cooled Water,-1,66.71,0.118,2.9,90.1,0,1020
2014,1,10,16,132,528.8076923,132,105,722,419,Cirrus,0,64.2,0.118,2.9,97.56,0,1020
2014,1,10,17,138,611.6666667,138,107,705,409,Cirrus,0,64.64,0.118,2.7,97.19,1,1020
2014,1,10,18,111,588.9230769,111,101,651,346,Super-Cooled Water,1,67.97,0.118,2.5,95.38,2,1020
2014,1,10,19,82,563,240,82,563,240,Probably Clear,1,73.78,0.118,2.4,98.89,2,1020
2014,1,10,20,52,369,106,52,369,106,Clear,1,81.51,0.118,2.6,100,1,1020
2014,1,10,21,0,0,0,0,0,0,Super-Cooled Water,1,90.64,0.118,2.7,100,1,1020
2014,1,10,22,0,0,0,0,0,0,Super-Cooled Water,1,100.74,0.118,2.6,100,1,1020
2014,1,10,23,0,0,0,0,0,0,Super-Cooled Water,1,111.45,0.118,2.4,100,1,1020
2014,1,11,0,0,0,0,0,0,0,Cirrus,1,122.5,0.118,2.2,100,1,1020
2014,1,11,1,0,0,0,0,0,0,Cirrus,1,133.57,0.118,2,100,1,1020
2014,1,11,2,0,0,0,0,0,0,Cirrus,1,144.22,0.118,1.9,100,1,1020
2014,1,11,3,0,0,0,0,0,0,Probably Clear,1,153.52,0.118,2.1,100,1,1020
2014,1,11,4,0,0,0,0,0,0,Super-Cooled Water,1,159.2,0.118,2.2,100,1,1020
2014,1,11,5,0,0,0,0,0,0,Clear,2,158.11,0.118,2.2,100,2,1020
2014,1,11,6,0,0,0,0,0,0,Super-Cooled Water,2,151.02,0.118,2,100,2,1010
2014,1,11,7,0,0,0,0,0,0,Cirrus,2,141.17,0.118,1.8,100,2,1010
2014,1,11,8,0,0,0,0,0,0,Cirrus,2,130.32,0.118,1.9,100,2,1010
2014,1,11,9,0,0,0,0,0,0,Cirrus,2,119.22,0.118,2.3,100,3,1010
2014,1,11,10,0,0,0,0,0,0,Cirrus,4,108.23,0.118,2.8,100,4,1010
2014,1,11,11,0,0,0,0,0,0,Opaque Ice,4,97.65,0.118,3.4,100,5,1010
2014,1,11,12,19.15384615,290,34.61538462,19.15384615,290,34.61538462,Opaque Ice,6,87.78,0.118,4.1,100,6,1010
2014,1,11,13,35,451.4782609,35,54,476,144,Opaque Ice,7,78.99,0.118,4.6,100,7,1010
2014,1,11,14,111,3,113,73,633,271,Opaque Ice,7,71.74,0.118,4.8,100,7,1000
2014,1,11,15,114,676.2380952,114,93,674,361,Opaque Ice,8,66.58,0.118,4.8,100,8,1000
2014,1,11,16,103,528.8076923,103,96,710,407,Opaque Ice,8,64.06,0.118,4.6,100,8,1000
2014,1,11,17,123,611.6666667,123,88,731,403,Cirrus,9,64.48,0.118,4.6,100,9,1000
2014,1,11,18,64,588.9230769,64,78,701,343,Opaque Ice,9,67.79,0.118,4.7,100,9,1000
2014,1,11,19,59,488.7692308,59,67,598,236,Cirrus,9,73.59,0.118,4.8,100,9,990
2014,1,11,20,52.68181818,447.9047619,126.5,54.90909091,543.1363636,152,Cirrus,9,81.33,0.118,4.8,100,9,990
